candidate_id,family,environment_target,recommended_plan_bucket,selection_tier,confirmation_role,pool_role,source_parent_candidate_id,scale_factor,preliminary_label_counts,confirmed_label_counts,transition_class_counts,candidate_level_status,budget_1000_preliminary,budget_1000_confirmed,budget_5000_preliminary,budget_5000_confirmed
f04_common_c_frontier_x2p0_seed991031,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_c_seed990403,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_c_frontier_x4p0_seed991032,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_c_seed990403,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_scaled_frontier_x2p0_seed991041,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_scaled_seed990404,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_common_scaled_frontier_x4p0_seed991042,F04,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_common_scaled_seed990404,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_a_frontier_x2p0_seed991051,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_a_seed990405,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_a_frontier_x4p0_seed991052,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_a_seed990405,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_b_frontier_x2p0_seed991061,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_b_seed990406,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_b_frontier_x4p0_seed991062,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_b_seed990406,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_scaled_frontier_x2p0_seed991071,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_scaled_seed990407,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f04_server_scaled_frontier_x4p0_seed991072,F04,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f04_server_scaled_seed990407,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f05_common_b_frontier_x2p0_seed991171,F05,common,confirmation_core,primary_budget_sensitive_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f05_common_b_seed990502,2.0,"{""non_exception"": 1, ""strong_exception_candidate"": 1}","{""non_exception_confirmed"": 2}","{""downgraded_in_confirmation"": 1, ""stable_negative_control"": 1}",confirmed_stable_non_exception_control,strong_exception_candidate,non_exception_confirmed,non_exception,non_exception_confirmed
f05_common_b_frontier_x4p0_seed991172,F05,common,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f05_common_b_seed990502,4.0,"{""non_exception"": 2}","{""non_exception_confirmed"": 2}","{""stable_negative_control"": 2}",confirmed_stable_non_exception_control,non_exception,non_exception_confirmed,non_exception,non_exception_confirmed
f05_common_scaled_frontier_x2p0_seed991181,F05,common,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f05_common_scaled_seed990504,2.0,"{""non_exception"": 2}","{""competitive_confirmed"": 2}","{""negative_control_changed"": 2}",confirmed_competitive_or_mixed,non_exception,competitive_confirmed,non_exception,competitive_confirmed
f05_common_scaled_frontier_x4p0_seed991182,F05,common,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f05_common_scaled_seed990504,4.0,"{""non_exception"": 2}","{""non_exception_confirmed"": 2}","{""stable_negative_control"": 2}",confirmed_stable_non_exception_control,non_exception,non_exception_confirmed,non_exception,non_exception_confirmed
f05_server_scaled_frontier_x2p0_seed991191,F05,server_expanded,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f05_server_scaled_seed990507,2.0,"{""non_exception"": 2}","{""non_exception_confirmed"": 2}","{""stable_negative_control"": 2}",confirmed_stable_non_exception_control,non_exception,non_exception_confirmed,non_exception,non_exception_confirmed
f05_server_scaled_frontier_x4p0_seed991192,F05,server_expanded,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f05_server_scaled_seed990507,4.0,"{""non_exception"": 2}","{""non_exception_confirmed"": 2}","{""stable_negative_control"": 2}",confirmed_stable_non_exception_control,non_exception,non_exception_confirmed,non_exception,non_exception_confirmed
f06_server_scaled_frontier_x2p0_seed991201,F06,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f06_server_scaled_seed990607,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f06_server_scaled_frontier_x4p0_seed991202,F06,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f06_server_scaled_seed990607,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_common_a_frontier_x2p0_seed991081,F07,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_common_a_seed990701,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_common_a_frontier_x4p0_seed991082,F07,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_common_a_seed990701,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_common_b_frontier_x2p0_seed991091,F07,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_common_b_seed990702,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_common_b_frontier_x4p0_seed991092,F07,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_common_b_seed990702,4.0,"{""strong_exception_candidate"": 2}","{""near_tie_confirmed"": 2}","{""downgraded_in_confirmation"": 2}",confirmed_near_tie_or_mixed,strong_exception_candidate,near_tie_confirmed,strong_exception_candidate,near_tie_confirmed
f07_common_c_frontier_x2p0_seed991101,F07,common,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_common_c_seed990703,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_server_a_frontier_x2p0_seed991121,F07,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_server_a_seed990705,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_server_a_frontier_x4p0_seed991122,F07,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_server_a_seed990705,4.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_server_b_frontier_x2p0_seed991131,F07,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_server_b_seed990706,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f07_server_scaled_frontier_x4p0_seed991142,F07,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f07_server_scaled_seed990707,4.0,"{""strong_exception_candidate"": 2}","{""near_tie_confirmed"": 1, ""strong_exception_confirmed"": 1}","{""downgraded_in_confirmation"": 1, ""stable_strong"": 1}",confirmed_budget_sensitive_strong_exception,strong_exception_candidate,near_tie_confirmed,strong_exception_candidate,strong_exception_confirmed
f08_common_b_frontier_x4p0_seed991212,F08,common,negative_control,negative_control_stable_non_exception,negative_control_candidate,frontier_pilot_candidate,f08_common_b_seed990802,4.0,"{""non_exception"": 2}","{""competitive_confirmed"": 2}","{""negative_control_changed"": 2}",confirmed_competitive_or_mixed,non_exception,competitive_confirmed,non_exception,competitive_confirmed
f08_server_b_frontier_x2p0_seed991221,F08,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f08_server_b_seed990806,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
f08_server_scaled_frontier_x2p0_seed991231,F08,server_expanded,confirmation_core,primary_stable_strong_exception,candidate_for_confirmation,frontier_pilot_candidate,f08_server_scaled_seed990807,2.0,"{""strong_exception_candidate"": 2}","{""strong_exception_confirmed"": 2}","{""stable_strong"": 2}",confirmed_stable_strong_exception,strong_exception_candidate,strong_exception_confirmed,strong_exception_candidate,strong_exception_confirmed
